Project Name,Registration Number,Locality,City,District,Project Type
Shri Krishna Kunj CHS Ltd,P51800001311,Jogeshwari East,Mumbai,Mumbai Suburban,Residential
Lodha Bel Air,P51800014869,Jogeshwari West,Mumbai,Mumbai Suburban,Residential
Roswalt Zaiden,P51800047680,Jogeshwari West,Mumbai,Mumbai Suburban,Residential
DGS HEIGHTS,P51800000052,Goregaon East,Mumbai,Mumbai Suburban,Residential
Oberoi Sky City,P51800003582,Borivali East,Mumbai,Mumbai Suburban,Residential
Godrej Prime,P51800000519,Chembur,Mumbai,Mumbai Suburban,Residential
Paradigm Antalya,P51800029304,Oshiwara,Mumbai,Mumbai Suburban,Residential
Sigma Jade,P51800031121,Andheri East,Mumbai,Mumbai Suburban,Residential
Sayba Luxe,P51800028212,Kurla West,Mumbai,Mumbai Suburban,Residential
Woods Platina,P51800025345,Goregaon East,Mumbai,Mumbai Suburban,Residential
Omshree Heights,P51900007812,Worli,Mumbai,Mumbai City,Residential
Indiabulls Sky Forest,P51900000431,Lower Parel,Mumbai,Mumbai City,Residential
Piramal Aranya,P51900003342,Byculla,Mumbai,Mumbai City,Residential
Godrej Emerald,P51700000120,Thane West,Thane,Thane,Residential
L&T Seawoods Residences,P51700020331,Seawoods,Navi Mumbai,Thane,Residential
